,French,English
0,partie,part
1,histoire,history
2,seulement,only
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,car,because
11,aucun,no
12,laisse,leash
13,eux,them
14,ville,city
15,chaque,each
16,parlé,speak
17,arrivé,come
18,devrait,should
19,bébé,baby
20,vont,will
21,pendant,while
22,revoir,meet again
23,place,square
24,compris,understood
25,savais,knew
26,étaient,were
27,attention,Warning
28,voici,here is
29,pourrais,could
30,affaire,case
31,donner,give
32,type,type
33,leurs,their
34,donné,given
35,train,train
36,corps,body
37,yeux,eyes
38,façon,way
39,écoute,listen
40,dont,whose
41,trouve,find
42,premier,first
43,perdu,lost
44,main,hand
45,première,first
46,côté,side
47,pouvoir,power
48,vieux,old
49,tiens,here
50,matin,morning
51,tellement,so much
52,enfant,child
53,point,point
54,venu,came
55,pardon,sorry
56,venez,come
57,devant,in front of
58,vers,towards
59,minutes,minutes
60,demandé,request
61,chambre,bedroom
62,mis,placed
63,belle,beautiful
64,droit,law
65,aimerais,would like to
66,aujourd'hui,today
67,mari,husband
68,cause,cause
69,enfin,finally
70,espère,hope
71,attendez,Wait
72,nouvelle,new
73,boulot,job
74,arrêter,Stop
75,dirait,would say
76,terre,Earth
77,compte,account
78,donne,given
79,loin,far
80,fin,end
81,croire,believe
82,chérie,sweetheart
83,gros,large
84,plutôt,rather
85,aura,will have
86,filles,girls
87,jouer,to play
88,bureau,office
